DICO,NOME,X,Y,Validada,Dens_pop_municipal_2001,Dens_pop_municipal_2021
"1102",ARRUDA DOS VINHOS,"-82648","-75617",Sim,,
"1109",MAFRA,"-103778","-80392",Sim,,
"1103",AZAMBUJA,"-64114","-66049",Sim,,
"1203",AVIS,"20771","-68049",Sim,,
"1208",FRONTEIRA,"41486","-67800",Sim,,
"1211",MONFORTE,"59654","-68090",Sim,,
"1202",ARRONCHES,"72928","-60340",Sim,,
"1215",SOUSEL,"39354","-79451",Sim,,
"0703",BORBA,"58500","-95588",Sim,,
"1111",SINTRA,"-108737","-95548",Sim,,
"1105",CASCAIS,"-112566","-106930",Sim,,
"1110",OEIRAS,"-102662","-107803",Sim,,
"1409",CORUCHE,"-34344","-78559",Sim,,
"1502",ALCOCHETE,"-72354","-101176",Sim,,
"1405",BENAVENTE,"-58929","-76174",Sim,,
"1506",MOITA,"-74785","-112476",Sim,,
"0707",MORA,"-3058","-80352",Sim,,
"0702",ARRAIOLOS,"12276","-105185",Sim,,
"0710",REDONDO,"50674","-113072",Sim,,
"0701",ALANDROAL,"62982","-107011",Sim,,
"0711",REGUENGOS DE MONSARAZ,"52085","-137896",Sim,,
"0708",MOURÃO,"68582","-142383",Sim,,
"0709",PORTEL,"37377","-151021",Sim,,
"0214",VIDIGUEIRA,"28668","-161843",Sim,,
"0203",ALVITO,"12125","-156739",Sim,,
"0207",CUBA,"20984","-166777",Sim,,
"0713",VIANA DO ALENTEJO,"10669","-148307",Sim,,
"0204",BARRANCOS,"101086","-170025",Sim,,
"1508",PALMELA,"-67796","-121977",Sim,,
"1511",SESIMBRA,"-84901","-135271",Sim,,
"0208",FERREIRA DO ALENTEJO,"529","-178699",Sim,,
"1513",SINES,"-65243","-189537",Sim,,
"0211",ODEMIRA,"-45115","-229862",Sim,,
"0206",CASTRO VERDE,"3717","-218534",Sim,,
"0212",OURIQUE,"-8463","-223905",Sim,,
"0201",ALJUSTREL,"-3247","-198841",Sim,,
"0802",ALCOUTIM,"57845","-243906",Sim,,
"0804",CASTRO MARIM,"60666","-271782",Sim,,
"0806",LAGOA (ALGARVE),"-28402","-281190",Sim,,
"0809",MONCHIQUE,"-38033","-260506",Sim,,
"0803",ALJEZUR,"-59790","-260640",Sim,,
"0815",VILA DO BISPO,"-69616","-286554",Sim,,
"1204",CAMPO MAIOR,"91514","-72235",Sim,,
"1603",MELGAÇO,"-10886","271718",Sim,,
"1604",MONÇÃO,"-29130","267529",Sim,,
"1608",VALENÇA,"-42680","262452",Sim,,
"1701",ALIJÓ,"55003","178862",Sim,,
"1707",MURÇA,"56554","193337",Sim,,
"1808",MORTÁGUA,"-8786","80830",Sim,,
"0403",CARRAZEDA DE ANSIÃES,"68680","175314",Sim,,
"0309",PÓVOA DE LANHOSO,"-12415","212177",Sim,,
"1819",TABUAÇO,"47257","161068",Sim,,
"0616",TÁBUA,"8424","76901",Sim,,
"0606",GÓIS,"1926","54216",Sim,,
"1008",FIGUEIRÓ DOS VINHOS,"-12976","26026",Sim,,
"0508",PROENÇA-A-NOVA,"17273","9116",Sim,,
"1413",MAÇÃO,"11530","-12633",Sim,,
"1411",FERREIRA DO ZÊZERE,"-14468","2902",Sim,,
"1002",ALVAIÁZERE,"-21752","17444",Sim,,
"0401",ALFÂNDEGA DA FÉ,"97284","186488",Sim,,
"0404",FREIXO DE ESPADA À CINTA,"110518","159045",Sim,,
"1007",CASTANHEIRA DE PÊRA,"-7399","37599",Sim,,
"1408",CONSTÂNCIA,"-18124","-21127",Sim,,
"1011",NAZARÉ,"-80717","-7149",Sim,,
"1001",ALCOBAÇA,"-72813","-12785",Sim,,
"1016",PORTO DE MÓS,"-59182","-7105",Sim,,
"1012",ÓBIDOS,"-88650","-33539",Sim,,
"0714",VILA VIÇOSA,"61698","-98464",Sim,,
"1404",ALPIARÇA,"-39132","-45271",Sim,,
"0209",MÉRTOLA,"41174","-224832",Sim,,
"0812",SÃO BRÁS DE ALPORTEL,"20883","-279280",Sim,,
"0504",FUNDÃO,"53809","52350",Sim,,
"1509",SANTIAGO DO CACÉM,"-49636","-183275",Sim,,
"0407",MIRANDELA,"79363","202186",Sim,,
"0116",SÃO JOÃO DA MADEIRA,"-30260","137280",Sim,,
"1213",PONTE DE SÔR,"10467","-46631",Sim,,
"1505",GRÂNDOLA,"-38484","-165569",Sim,,
"0202",ALMODÔVAR,"5971","-239290",Sim,,
"0704",ESTREMOZ,"47132","-91491",Sim,,
"0810",OLHÃO,"25541","-293019",Sim,,
"0108",ESTARREJA,"-36812","120812",Sim,,
"1501",ALCÁCER DO SAL,"-32996","-143483",Sim,,
"1510",SEIXAL,"-84147","-113744",Sim,,
"0314",VIZELA,"-14539","189836",Sim,,
"1318",TROFA,"-35676","185468",Sim,,
"1712",VALPAÇOS,"68454","215629",Sim,,
"0405",MACEDO DE CAVALEIROS,"97658","208342",Sim,,
"1814",SANTA COMBA DÃO,"-283","80952",Sim,,
"0109",SANTA MARIA DA FEIRA,"-34412","139591",Sim,,
"0816",VILA REAL DE SANTO ANTÓNIO,"63139","-274797",Sim,,
"1013",PEDRÓGÃO GRANDE,"-1883","27554",Sim,,
"0609",MIRANDA DO CORVO,"-17758","47109",Sim,,
"0114",OLIVEIRA DO BAIRRO,"-30496","94135",Sim,,
"0111",MEALHADA,"-26599","78750",Sim,,
"0213",SERPA,"47034","-191428",Sim,,
"1314",SANTO TIRSO,"-28874","186054",Sim,,
"1815",SÃO JOÃO DA PESQUEIRA,"60598","164768",Sim,,
"0910",PINHEL,"90421","123388",Sim,,
"1602",CAMINHA,"-58768","245449",Sim,,
"1415",SALVATERRA DE MAGOS,"-58264","-71012",Sim,,
"1711",SANTA MARTA DE PENAGUIÃO,"27936","171278",Sim,,
"1114",VILA FRANCA DE XIRA,"-74342","-78648",Sim,,
"1112",SOBRAL DE MONTE AGRAÇO,"-89268","-71613",Sim,,
"1420",VILA NOVA DA BARQUINHA,"-26766","-23163",Sim,,
"0312",VILA NOVA DE FAMALICÃO,"-32286","193374",Sim,,
"1307",MARCO DE CANAVESES,"-1501","168541",Sim,,
"0304",CABECEIRAS DE BASTO,"11684","205363",Sim,,
