DICO;Nome;NOME_M;X;Y;Validada;Dens_pop_municipal_maiusculas_2001;Dens_pop_municipal_maiusculas_2021
901;Miranda do Corvo;MIRANDA DO CORVO;-17758;47109;Sim;103.5;95.5
909;Miranda do Douro;MIRANDA DO DOURO;154902;204305;Sim;16.5;13.2
1818;Mirandela;MIRANDELA;79363;202186;Sim;39.1;32.5
913;Mogadouro;MOGADOURO;118154;186594;Sim;14.7;11
902;Moimenta da Beira;MOIMENTA DA BEIRA;42990;145837;Sim;50.1;43.1
904;Moita;MOITA;-74785;-112476;Sim;1233.1;1209.9
903;Monção;MONÇÃO;-29130;267529;Sim;94.3;84.7
905;Monchique;MONCHIQUE;-38033;-260506;Sim;17.5;13.8
1811;Mondim de Basto;MONDIM DE BASTO;14272;193562;Sim;49.6;37.5
1817;Monforte;MONFORTE;59654;-68090;Sim;8.1;7.1
1802;Montalegre;MONTALEGRE;28094;239455;Sim;15.7;11.5
501;Montemor-O-Novo;MONTEMOR-O-NOVO;-7420;-113675;Sim;15.1;13
908;Montemor-O-Velho;MONTEMOR-O-VELHO;-47744;56258;Sim;111.6;107.9
911;Montijo;MONTIJO;-73046;-106453;Sim;116.5;162.2
507;Mora;MORA;-3058;-80352;Sim;13;9.5
612;Mortágua;MORTÁGUA;-8786;80830;Sim;41.2;35.9
506;Moura;MOURA;59752;-169213;Sim;17.2;13.9
505;Mourão;MOURÃO;68582;-142383;Sim;11.5;8.5
1004;Murça;MURÇA;56554;193337;Sim;35.5;27.8
511;Murtosa;MURTOSA;-43036;118852;Sim;129.6;144.9
1417;Nazaré;NAZARÉ;-80717;-7149;Sim;182.6;181.8
1212;Nelas;NELAS;23415;95938;Sim;113.5;105.1
1206;Nisa;NISA;41574;-16676;Sim;14.9;10.3
1201;Óbidos;ÓBIDOS;-88650;-33539;Sim;76.8;86.4
1210;Odemira;ODEMIRA;-45115;-229862;Sim;15.2;17.5
1205;Odivelas;ODIVELAS;-91085;-96861;Sim;5035.6;5612.4
1209;Oeiras;OEIRAS;-102662;-107803;Sim;3540.8;3744.5
1407;Oleiros;OLEIROS;18452;27787;Sim;14.2;10.4
1412;Olhão;OLHÃO;25541;-293019;Sim;315.1;342
1406;Oliveira de Azeméis;OLIVEIRA DE AZEMÉIS;-28966;130014;Sim;432.2;413
1104;Oliveira de Frades;OLIVEIRA DE FRADES;-4447;118131;Sim;72.8;66.1
1402;Oliveira do Bairro;OLIVEIRA DO BAIRRO;-30496;94135;Sim;243;269.5
1108;Oliveira do Hospital;OLIVEIRA DO HOSPITAL;23114;76998;Sim;94.1;83.1
1005;Ourém;OURÉM;-38119;-1115;Sim;111.1;108.1
1101;Ourique;OURIQUE;-8463;-223905;Sim;9.3;7.3
1102;Ovar;OVAR;-41846;132713;Sim;374.6;375
1109;Paços de Ferreira;PAÇOS DE FERREIRA;-20114;178718;Sim;742.2;785.8
1103;Palmela;PALMELA;-67796;-121977;Sim;115.4;150.2
1203;Pampilhosa da Serra;PAMPILHOSA DA SERRA;14896;42240;Sim;13.1;10.3
1208;Paredes;PAREDES;-16629;170893;Sim;534.2;541.2
1211;Paredes de Coura;PAREDES DE COURA;-36127;249451;Sim;69.1;63
1202;Pedrógão Grande;PEDRÓGÃO GRANDE;-1883;27554;Sim;34.1;27
1215;Penacova;PENACOVA;-12978;66896;Sim;76.9;60.4
703;Penafiel;PENAFIEL;-12606;170661;Sim;338.4;329.3
1111;Penalva do Castelo;PENALVA DO CASTELO;35951;111893;Sim;66.8;54.7
1105;Penamacor;PENAMACOR;81643;55972;Sim;11.8;8.5
1110;Penedono;PENEDONO;61696;146840;Sim;25.7;20.8
1409;Penela;PENELA;-22311;40293;Sim;48.7;40.7
1502;Peniche;PENICHE;-107403;-33719;Sim;351.4;343.8
1405;Peso da Régua;PESO DA RÉGUA;29209;166375;Sim;194.5;153.5
1506;Pinhel;PINHEL;90421;123388;Sim;22.5;16.7
707;Pombal;POMBAL;-41994;27718;Sim;89.9;82.2
702;Ponte da Barca;PONTE DA BARCA;-24386;237283;Sim;70.6;60.9
710;Ponte de Lima;PONTE DE LIMA;-37784;233063;Sim;138.1;128.8
701;Ponte de Sor;PONTE DE SÔR;10467;-46631;Sim;;
711;Portalegre;PORTALEGRE;59982;-41656;Sim;57.9;49.9
708;Portel;PORTEL;37377;-151021;Sim;11.8;9.5
709;Portimão;PORTIMÃO;-36062;-280557;Sim;249;330.6
214;Porto;PORTO;-41224;165858;Sim;6310.5;5660
203;Porto de Mós;PORTO DE MÓS;-59182;-7105;Sim;91.8;89.4
