SÃO BRÁS DE ALPORTEL;67;73.9
SILVES;50;56
TAVIRA;41.1;45.5
VILA DO BISPO;29.9;32.3
VILA REAL DE SANTO ANTÓNIO;290.3;309.3
VILA DO PORTO;57.6;56.3
LAGOA [R.A.A.];309.9;315
NORDESTE;52.8;43.7
PONTA DELGADA;283.1;290.5
POVOAÇÃO;62.1;55.1
RIBEIRA GRANDE;158.8;175.7
VILA FRANCA DO CAMPO;142.7;133
ANGRA DO HEROÍSMO;148.9;141.9
VILA DA PRAIA DA VITÓRIA;125.8;121.4
SANTA CRUZ DA GRACIOSA;78.8;67.6
CALHETA [R.A.A.];32.1;27.7
VELAS;47.7;42.2
LAJES DO PICO;32.4;28.2
MADALENA;41.7;43.5
SÃO ROQUE DO PICO;25.4;22.9
HORTA;87.1;83.4
LAJES DAS FLORES;21.5;20.2
SANTA CRUZ DAS FLORES;35.1;28.9
CORVO;24.8;23.4
CALHETA [R.A.M.];108.1;98.4
CÂMARA DE LOBOS;669.4;619.7
FUNCHAL;1377.3;1395.3
MACHICO;318.4;288
PONTA DO SOL;174.3;182.3
PORTO MONIZ;35.3;30
RIBEIRA BRAVA;193;195.3
SANTA CRUZ;448.9;524.7
SANTANA;91.2;68.6
SÃO VICENTE;76.5;61.8
PORTO SANTO;112.7;121.5
